filename,split,ground_truth,predicted_label,ai_score,human_score
53f5816d58a9159d.jpg,test,real,real,0.0024346020072698593,0.9975653886795044
c60e59bc0e2558e1.jpg,test,real,real,0.3741677701473236,0.6258322596549988
c12763b3c354b99e.jpg,test,real,real,0.30048301815986633,0.699517011642456
21b7dea08ee048f1.jpg,test,real,artificial,0.8609306812286377,0.1390693038702011
f8d71e2f8479fe92.jpg,test,real,artificial,0.5107409358024597,0.4892590641975403
d98037153884308c.jpg,test,real,artificial,0.6118687391281128,0.3881312608718872
49abd9c8c13477a6.jpg,test,real,real,0.1674685925245285,0.8325313925743103
55c943aa254103b0.jpg,test,real,real,0.03539656102657318,0.9646034240722656
2ad4c9b136ebcde9.jpg,test,real,real,0.13075841963291168,0.8692415952682495
508351f4e658f011.jpg,test,real,real,0.01638382486999035,0.9836161732673645
8ec72435b470128e.jpg,test,real,real,0.24474166333675385,0.755258321762085
b6b43824562b548b.jpg,test,real,artificial,0.5407313108444214,0.4592686593532562
9f642647297131ec.jpg,test,real,real,0.3353937268257141,0.6646062135696411
c65b85ca4463e630.jpg,test,real,real,0.045769836753606796,0.9542301893234253
e80757ce12a8b6f7.jpg,test,real,real,0.04160093143582344,0.9583990573883057
ab2c52c89495d93a.jpg,test,real,real,0.1465526968240738,0.8534473180770874
852609e054a409d8.jpg,test,real,real,0.03177029639482498,0.9682297706604004
e1255fa39d7c06e8.jpg,test,real,artificial,0.9320505857467651,0.06794936954975128
572f627b42ccd616.jpg,test,real,real,0.16963613033294678,0.8303638696670532
26eb753ccf993f73.jpg,test,real,artificial,0.7407151460647583,0.2592848539352417
bc06797ad5de5ad8.jpg,test,real,artificial,0.7050909399986267,0.2949090301990509
f467d86a337fe7c1.jpg,test,real,real,0.16770724952220917,0.8322927355766296
66fb599a59a53707.jpg,test,real,artificial,0.6002700924873352,0.3997298777103424
2f4771c9c6334db4.jpg,test,real,artificial,0.5432013869285583,0.45679864287376404
dbe8e2cbfcd9c8f3.jpg,test,real,real,0.21065519750118256,0.7893447875976562
fc1bfe886053765a.jpg,test,real,real,0.4444299638271332,0.5555700063705444
a407e1a8137254c0.jpg,test,real,real,0.08804471045732498,0.9119552969932556
16eb4cdd8170dad7.jpg,test,real,real,0.0898129940032959,0.9101869463920593
9139c8dce6dd5489.jpg,test,real,artificial,0.7518775463104248,0.24812248349189758
b75784d972cee712.jpg,test,real,real,0.11972353607416153,0.8802765011787415
de6ff4398ce50f91.jpg,test,real,real,0.06821703165769577,0.9317829608917236
ac666acca5fd900b.jpg,test,real,real,0.029580002650618553,0.9704199433326721
64085b860121555d.jpg,test,real,artificial,0.5057739019393921,0.4942260980606079
4201739b2fe92abb.jpg,test,real,artificial,0.8715971112251282,0.12840285897254944
322ea1e3774ecef6.jpg,test,real,artificial,0.5465414524078369,0.4534585773944855
